Temperature,Time,GHG_lulucf,GHG_lulucf_total
1.5,2020,4713,7069
1.5,2021,4438,6657
1.5,2022,4163,6244
1.5,2023,3888,5832
1.5,2024,3613,5420
1.5,2025,3338,5007
1.5,2026,3063,4595
1.5,2027,2788,4182
1.5,2028,2513,3770
1.5,2029,2238,3357
1.5,2030,1963,2945
1.5,2031,1689,2534
1.5,2032,1415,2123
1.5,2033,1141,1712
1.5,2034,867,1300
1.5,2035,593,889
1.5,2036,319,478
1.5,2037,45,67
1.5,2038,229,344
1.5,2039,-503,-755
1.5,2040,-778,-1166
1.5,2041,-957,-1435
1.5,2042,-1136,-1704
1.5,2043,-1315,-1973
1.5,2044,-1495,-2242
1.5,2045,-1674,-2511
1.5,2046,-1853,-2780
1.5,2047,-2033,-3049
1.5,2048,-2212,-3318
1.5,2049,-2391,-3587
1.5,2050,-2570,-3856
1.5,2051,-2650,-3974
1.5,2052,-2729,-4093
1.5,2053,-2808,-4212
1.5,2054,-2887,-4330
1.5,2055,-2966,-4449
1.5,2056,-3045,-4568
1.5,2057,-3124,-4686
1.5,2058,-3203,-4805
1.5,2059,-3282,-4924
1.5,2060,-3362,-5042
1.5,2061,-3350,-5025
1.5,2062,-3339,-5008
1.5,2063,-3328,-4991
1.5,2064,-3316,-4974
1.5,2065,-3305,-4957
1.5,2066,-3293,-4940
1.5,2067,-3282,-4923
1.5,2068,-3271,-4906
1.5,2069,-3259,-4889
1.5,2070,-3248,-4872
1.5,2071,-3250,-4875
1.5,2072,-3252,-4878
1.5,2073,-3254,-4881
1.5,2074,-3256,-4884
1.5,2075,-3258,-4887
1.5,2076,-3260,-4889
1.5,2077,-3262,-4892
1.5,2078,-3264,-4895
1.5,2079,-3265,-4898
1.5,2080,-3267,-4901
1.5,2081,-3278,-4917
1.5,2082,-3288,-4933
1.5,2083,-3299,-4948
1.5,2084,-3309,-4964
1.5,2085,-3320,-4980
1.5,2086,-3330,-4996
1.5,2087,-3341,-5011
1.5,2088,-3351,-5027
1.5,2089,-3362,-5043
1.5,2090,-3372,-5059
1.5,2091,-3377,-5065
1.5,2092,-3381,-5072
1.5,2093,-3386,-5079
1.5,2094,-3390,-5085
1.5,2095,-3395,-5092
1.5,2096,-3399,-5099
1.5,2097,-3404,-5105
1.5,2098,-3408,-5112
1.5,2099,-3412,-5119
1.5,2100,-3417,-5125
2,2020,4719,9438
2,2021,4452,8903
2,2022,4184,8369
2,2023,3917,7835
2,2024,3650,7300
2,2025,3383,6766
2,2026,3116,6232
2,2027,2849,5697
2,2028,2581,5163
2,2029,2314,4628
2,2030,2047,4094
2,2031,1777,3553
2,2032,1506,3013
2,2033,1236,2472
2,2034,966,1931
2,2035,695,1391
2,2036,425,850
2,2037,155,309
2,2038,-116,-232
2,2039,-386,-772
2,2040,-656,-1313
2,2041,-802,-1604
2,2042,-947,-1895
2,2043,-1093,-2185
2,2044,-1238,-2476
2,2045,-1384,-2767
2,2046,-1529,-3058
2,2047,-1674,-3349
2,2048,-1820,-3640
2,2049,-1965,-3930
2,2050,-2111,-4221
2,2051,-2159,-4317
2,2052,-2207,-4413
2,2053,-2255,-4509
2,2054,-2302,-4605
2,2055,-2350,-4701
2,2056,-2398,-4797
2,2057,-2446,-4893
2,2058,-2494,-4989
2,2059,-2542,-5085
2,2060,-2590,-5181
2,2061,-2569,-5138
2,2062,-2548,-5096
2,2063,-2527,-5054
2,2064,-2506,-5012
2,2065,-2485,-4970
2,2066,-2464,-4928
2,2067,-2443,-4886
2,2068,-2422,-4844
2,2069,-2401,-4802
2,2070,-2380,-4760
2,2071,-2382,-4764
2,2072,-2384,-4767
2,2073,-2385,-4771
2,2074,-2387,-4774
2,2075,-2389,-4778
2,2076,-2391,-4781
2,2077,-2392,-4785
2,2078,-2394,-4788
2,2079,-2396,-4792
2,2080,-2398,-4796
2,2081,-2428,-4856
2,2082,-2459,-4917
2,2083,-2489,-4978
2,2084,-2520,-5039
2,2085,-2550,-5100
2,2086,-2580,-5161
2,2087,-2611,-5222
2,2088,-2641,-5283
2,2089,-2672,-5343
