system:index,area,centroid,uesi_id,.geo
000000000000000000c9,1.648066864036841E9,"{""type"":""Point"",""coordinates"":[27.96367990561863,-26.17659464509164]}",ZAF_R594508,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cf,5.171723465779226E7,"{""type"":""Point"",""coordinates"":[34.7924577534903,32.08418311384878]}",ISR_R1382494,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000de,6.281915944435544E8,"{""type"":""Point"",""coordinates"":[51.37762046687529,35.71506580288985]}",IRN_R6663864,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6,6.62415217351313E8,"{""type"":""Point"",""coordinates"":[31.053690341471068,-17.80877418415519]}",ZWE_R318467,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,1.8708347638745114E8,"{""type"":""Point"",""coordinates"":[88.35671632206021,22.524992353621286]}",IND_R9381363,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,2.1935127417377627E8,"{""type"":""Point"",""coordinates"":[-100.3169619587968,25.668902871803482]}",MEX_R5606060,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9,4.415318186908675E8,"{""type"":""Point"",""coordinates"":[69.15718296525492,34.52067159950855]}",AFG_N21716195,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c6,1.5843516645609215E8,"{""type"":""Point"",""coordinates"":[24.743579093967806,59.42492518203549]}",EST_R2164745,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e,4.627480823442526E8,"{""type"":""Point"",""coordinates"":[141.34576794815058,43.06212689741377]}",JPN_R4085749,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,7.859167397228394E8,"{""type"":""Point"",""coordinates"":[140.7482233306106,38.303789244711325]}",JPN_R4135014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,2.1755765286244428E8,"{""type"":""Point"",""coordinates"":[139.65481001351273,35.9077005948149]}",JPN_R1767047,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb,4.376177826183838E8,"{""type"":""Point"",""coordinates"":[139.57736316592502,35.460139098282944]}",JPN_R2689482,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,1.4563279985210654E8,"{""type"":""Point"",""coordinates"":[139.62694760908482,35.568897551358845]}",JPN_R2689476,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,7.226701899608898E8,"{""type"":""Point"",""coordinates"":[139.03495326780504,37.82708723902748]}",JPN_R4237973,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,3.2644876061698973E8,"{""type"":""Point"",""coordinates"":[136.92422995139142,35.144300445660946]}",JPN_R4576938,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,8.282264514434407E8,"{""type"":""Point"",""coordinates"":[135.72739388667168,35.10602031598402]}",JPN_R357794,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,2.2657234539065364E8,"{""type"":""Point"",""coordinates"":[135.49743338608923,34.669333034895004]}",JPN_R358674,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010b,1.5035622017283237E8,"{""type"":""Point"",""coordinates"":[135.49680946849605,34.53104625689479]}",JPN_R358759,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c,5.563985655087005E8,"{""type"":""Point"",""coordinates"":[135.13408855428065,34.743503023366664]}",JPN_R900329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,3.395968589294839E8,"{""type"":""Point"",""coordinates"":[133.98273665225867,34.63956321840184]}",JPN_R3939644,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,9.031615695372348E8,"{""type"":""Point"",""coordinates"":[132.4529466337204,34.47592727787289]}",JPN_R4097196,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000115,3.4461673668290395E8,"{""type"":""Point"",""coordinates"":[130.35779198782217,33.56854574251335]}",JPN_R4008611,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd,3.907938741124328E8,"{""type"":""Point"",""coordinates"":[130.69498312594095,32.808682489820164]}",JPN_R4000503,"{""type"":""MultiPoint"",""coordinates"":[]}"
