actor_uid,baseline_year,baseline_value,name,entity_type,iso,target_id_update,target_type,target_year,target_value,target_unit,Datasource_targets,baseline_unit,Datasource_baseline,total_emissions,emiss_year,Datasource_inventory,population,population_year,epc,country,region,target_term,climactor_id,GDAM_id,c40,uesi_id,name_mod
AR Rosario City,2018,3350230,Rosario,City,ARG,AR Rosario City:2018:2030:22,Absolute emission reduction,2030,22,percent,CDP cities targets,tCO2e,CDP cities targets,3350230,2018,CDP cities targets,1276000,2012,2.62557210031348,Argentina,Latin America and Caribbean,Medium-term targets (6-15 years),23435dd2_1ffcd71b,ARG.21.12_1,NA,ARG_R3594027,NA
AR Rosario City,2018,3350230,Rosario,City,ARG,AR Rosario City:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,CDP cities targets,3120114,2021,CDP cities emissions,1001406,2020,3.1157332790097123,Argentina,Latin America and Caribbean,Long-term targets (>15 years),23435dd2_1ffcd71b,ARG.21.12_1,NA,ARG_R3594027,NA
AU Melbourne City,2015,4700672,Melbourne,City,AUS,AU Melbourne City:2015:2025:33,Absolute emission reduction,2025,33,percent,CDP cities targets,tCO2e,CDP cities targets,4208665,2021,CDP cities emissions,169860,2021,24.77725774166961,Australia,East Asia and the Pacific,Short-term targets (within 5 years),e71ee7c9_76b7a108,AUS.10.44_1,TRUE,AUS_R4246124,NA
AU Melbourne City,2015,4700672,Melbourne,City,AUS,AU Melbourne City:2015:2030:75,Absolute emission reduction,2030,75,percent,CDP cities targets,tCO2e,CDP cities targets,4208665,2021,CDP cities emissions,169860,2021,24.77725774166961,Australia,East Asia and the Pacific,Medium-term targets (6-15 years),e71ee7c9_76b7a108,AUS.10.44_1,TRUE,AUS_R4246124,NA
AU Melbourne City,2015,4700672,Melbourne,City,AUS,AU Melbourne City:NA:2040:100,Absolute emission reduction,2040,100,percent,CDP cities targets,tCO2e,CDP cities targets,4208665,2021,CDP cities emissions,169860,2021,24.77725774166961,Australia,East Asia and the Pacific,Long-term targets (>15 years),e71ee7c9_76b7a108,AUS.10.44_1,TRUE,AUS_R4246124,NA
AU Sydney City,2006,5815521,Sydney,City,AUS,AU Sydney City:2006:2030:70,Absolute emission reduction,2030,70,percent,CDP cities targets,tCO2e,CDP cities targets,4014752,2021,CDP cities emissions,267014,2020,15.03573595392002,Australia,East Asia and the Pacific,Medium-term targets (6-15 years),1378181b_c3abb280,AUS.5.122_1,TRUE,AUS_R5750005,NA
AU Sydney City,2006,5815521,Sydney,City,AUS,AU Sydney City:NA:2035:100,Absolute emission reduction,2035,100,percent,CDP cities targets,tCO2e,CDP cities targets,4014752,2021,CDP cities emissions,267014,2020,15.03573595392002,Australia,East Asia and the Pacific,Medium-term targets (6-15 years),1378181b_c3abb280,AUS.5.122_1,TRUE,AUS_R5750005,NA
BR Belo Horizonte City,2007,4175464,Belo Horizonte,City,BRA,BR Belo Horizonte City:2007:2030:20,Absolute emission reduction,2030,20,percent,CDP cities targets,tCO2e,CDP cities targets,4042504,2020,CDP cities emissions,2500000,2019,1.6170016,Brazil,Latin America and Caribbean,Medium-term targets (6-15 years),6f7166f5_38a9307d,BRA.13.66_2,NA,BRA_R368782,NA
BR Belo Horizonte City,2007,4175464,Belo Horizonte,City,BRA,BR Belo Horizonte City:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,4042504,2020,CDP cities emissions,2500000,2019,1.6170016,Brazil,Latin America and Caribbean,Long-term targets (>15 years),6f7166f5_38a9307d,BRA.13.66_2,NA,BRA_R368782,NA
BR Curitiba City,2016,3505046,Curitiba,City,BRA,BR Curitiba City:2016:2030:43,Absolute emission reduction,2030,43,percent,CDP cities targets,tCO2e,CDP cities targets,104000000,2015,https://www.theclimategroup.org/media/15446/download,1908359,2017,54.4970836200107,Brazil,Latin America and Caribbean,Medium-term targets (6-15 years),ac046176_8c8da932,BRA.16.95_2,TRUE,BRA_R297514,NA
BR Curitiba City,2016,3505046,Curitiba,City,BRA,BR Curitiba City:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,3505046,2020,CDP cities targets,1908359,2017,1.8366806245575389,Brazil,Latin America and Caribbean,Long-term targets (>15 years),ac046176_8c8da932,BRA.16.95_2,TRUE,BRA_R297514,NA
BR Fortaleza City,2014,5139514,Fortaleza,City,BRA,BR Fortaleza City:2014:2030:30,Absolute emission reduction,2030,30,percent,NZT,tCO2e,NZT,104000000,2015,https://www.theclimategroup.org/media/15446/download,2643247,2018,39.34554735142043,Brazil,Latin America and Caribbean,Medium-term targets (6-15 years),6d4d58df_70a47a1b,BRA.6.59_2,NA,BRA_R302588,NA
BR Fortaleza City,2014,5139514,Fortaleza,City,BRA,BR Fortaleza City:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,4522680,2022,CDP cities targets,2643247,2018,1.7110319239934824,Brazil,Latin America and Caribbean,Long-term targets (>15 years),6d4d58df_70a47a1b,BRA.6.59_2,NA,BRA_R302588,NA
BR Rio de Janeiro City,2017,11342945,Rio de Janeiro,City,BRA,BR Rio de Janeiro City:2017:2024:5,Absolute emission reduction,2024,5,percent,CDP cities targets,tCO2e,CDP cities targets,13638126,2019,CDP cities emissions,6718903,2019,2.0298143908313606,Brazil,Latin America and Caribbean,Short-term targets (within 5 years),351d0564_f8945dea,BRA.19.68_2,TRUE,BRA_R2697338,NA
BR Rio de Janeiro City,2017,11342945,Rio de Janeiro,City,BRA,BR Rio de Janeiro City:2017:2030:20,Absolute emission reduction,2030,20,percent,CDP cities targets,tCO2e,CDP cities targets,13638126,2019,CDP cities emissions,6718903,2019,2.0298143908313606,Brazil,Latin America and Caribbean,Medium-term targets (6-15 years),351d0564_f8945dea,BRA.19.68_2,TRUE,BRA_R2697338,NA
BR Rio de Janeiro City,2017,11342945,Rio de Janeiro,City,BRA,BR Rio de Janeiro City:NA:2050:100,Absolute emission reduction,2050,100,percent,CDP cities targets,tCO2e,CDP cities targets,13638126,2019,CDP cities emissions,6718903,2019,2.0298143908313606,Brazil,Latin America and Caribbean,Long-term targets (>15 years),351d0564_f8945dea,BRA.19.68_2,TRUE,BRA_R2697338,NA
BR São Paulo City,NA,NA,São Paulo,City,BRA,BR São Paulo City:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,15523015,2017,NZT,12000000,2020,1.2935845833333333,Brazil,Latin America and Caribbean,Long-term targets (>15 years),57e7339f_4b238645,BRA.25.565_2,TRUE,BRA_R298285,NA
"CA Montreal, QC City",1990,15653482,"Montreal, QC",City,CAN,"CA Montreal, QC City:1990:2030:55",Absolute emission reduction,2030,55,percent,CDP cities targets,tCO2e,CDP cities targets,11615872,2018,CDP cities emissions,2033189,2018,5.71312947296095,Canada,North America,Medium-term targets (6-15 years),f0e5dfd8_9c2bc9bd,CAN.11.20.14_1,TRUE,CAN_R1571328,NA
"CA Montreal, QC City",1990,15653482,"Montreal, QC",City,CAN,"CA Montreal, QC City:NA:2050:100",Absolute emission reduction,2050,100,percent,CDP cities targets,tCO2e,CDP cities targets,11615872,2018,CDP cities emissions,2033189,2018,5.71312947296095,Canada,North America,Long-term targets (>15 years),f0e5dfd8_9c2bc9bd,CAN.11.20.14_1,TRUE,CAN_R1571328,NA
"CA Vancouver, BC City",2007,2854000,"Vancouver, BC",City,CAN,"CA Vancouver, BC City:2007:2030:50",Absolute emission reduction,2030,50,percent,CDP cities targets,tCO2e,CDP cities targets,2438708,2020,CDP cities emissions,654000,2020,3.7289113149847095,Canada,North America,Medium-term targets (6-15 years),1daaa56b_ba32c4e5,CAN.2.14.34_1,TRUE,CAN_R1852574,NA
"CA Vancouver, BC City",2007,2854000,"Vancouver, BC",City,CAN,"CA Vancouver, BC City:NA:2050:100",Absolute emission reduction,2050,100,percent,CDP cities targets,tCO2e,CDP cities targets,2438708,2020,CDP cities emissions,654000,2020,3.7289113149847095,Canada,North America,Long-term targets (>15 years),1daaa56b_ba32c4e5,CAN.2.14.34_1,TRUE,CAN_R1852574,NA
CN Qingdao City,NA,NA,Qingdao,City,CHN,CN Qingdao City:NA:2060:Carbon neutral(ity),Carbon neutral(ity),2060,100,percent,NZT,tCO2e,NZT,NA,NA,NZT,9400000,NA,NA,China,East Asia and the Pacific,Long-term targets (>15 years),369df26c_304009b5,CHN.23.10_1,TRUE,CHN_R3469133,NA
CZ Brno City,2000,2028290,Brno,City,CZE,CZ Brno City:2000:2030:40,Absolute emission reduction,2030,40,percent,JRC,tCO2e,JRC,2028290,2000,JRC,377973,2017,5.366229862979631,Czech Republic,Europe,Medium-term targets (6-15 years),4750bc0b_cf8727a2,CZE.2.3_1,NA,CZE_R438171,NA
CZ Ostrava City,2000,1401184,Ostrava,City,CZE,CZ Ostrava City:2000:2030:30,Absolute emission reduction,2030,30,percent,JRC,tCO2e,JRC,987406,2020,JRC,284982,2020,3.464801285695237,Czech Republic,Europe,Medium-term targets (6-15 years),a136ef5a_0f4ed600,CZE.7.6_1,NA,CZE_R437354,NA
DK Copenhagen City,2015,1514622,Copenhagen,City,DNK,DK Copenhagen City:NA:2025:100,Absolute emission reduction,2025,100,percent,CDP cities targets,tCO2e,JRC,921942,2020,CDP cities emissions,638117,2020,1.4447852039672977,Denmark,Europe,Short-term targets (within 5 years),66ed8fba_c3d1b01f,DNK.1.25_1,TRUE,DNK_N13707878,NA
EE Tallinn City,2007,3931874,Tallinn,City,EST,EE Tallinn City:2007:2030:40,Absolute emission reduction,2030,40,percent,JRC,tCO2e,JRC,3491625,2015,JRC,418601,2015,8.34117692026536,Estonia,Europe,Medium-term targets (6-15 years),c74387fd_2edefea2,EST.1.20_1,NA,EST_R2164745,NA
ES Bilbao City,2005,1617803,Bilbao,City,ESP,ES Bilbao City:2005:2030:40,Absolute emission reduction,2030,40,percent,EUCoM2022,tCO2e,EUCoM2022,1112052,2009,EUCoM2022,346574,2018,3.2087000178893974,Spain,Europe,Medium-term targets (6-15 years),a1c6483e_4dd80d71,ESP.16.3.1.28_1,NA,ESP_R339549,NA
ES Municipality of L'Hospitalet de Llobregat City,2005,795085,Municipality of L'Hospitalet de Llobregat,City,ESP,ES Municipality of L'Hospitalet de Llobregat City:2005:2030:55,Absolute emission reduction,2030,55,percent,CDP cities targets,tCO2e,CDP cities targets,579282.6704,2012,JRC,261068,2018,2.2188957298481617,Spain,Europe,Medium-term targets (6-15 years),e09536f5_8eeee826,ESP.6.1.11.15_1,NA,ESP_R345401,NA
FI Espoo City,1990,1224000,Espoo,City,FIN,FI Espoo City:1990:2030:100,Absolute emission reduction,2030,100,percent,CDP cities targets,tCO2e,CDP cities targets,816141,2021,CDP cities emissions,292796,2021,2.787404882580363,Finland,Europe,Medium-term targets (6-15 years),b3aecea1_b3194d9e,FIN.4.5.2.1_1,NA,FIN_R36097,NA
FR Paris City,2004,8296259,Paris,City,FRA,FR Paris City:2004:2030:50,Absolute emission reduction,2030,50,percent,CDP cities targets,tCO2e,CDP cities targets,6138344,2020,CDP cities emissions,2175601,2022,2.8214474988750236,France,Europe,Medium-term targets (6-15 years),f36d6f7c_008924b8,FRA.8.3_1,TRUE,FRA_R7444,NA
