actor_uid,baseline_year,baseline_value,name,entity_type,iso,target_id_update,target_type,target_year,target_value,target_unit,Datasource_targets,baseline_unit,Datasource_baseline,total_emissions,emiss_year,Datasource_inventory,population,population_year,epc,country,region,target_term,climactor_id,GDAM_id
AR Jujuy Region,2010,2800000,Jujuy,Region,ARG,AR Jujuy Region:2010:2050:100,Absolute emission reduction,2050,100,percent,CDP states regions,tCO2e,CDP states regions,2819706,2014,CDP states regions,727780,2014,3.87439336063096,Argentina,Latin America and Caribbean,Long-term targets (>15 years),dcd76f87_5449891e,ARG.10_1
AT Lower Austria Region,2005,12954000,Lower Austria,Region,AUT,AT Lower Austria Region:2005:2030:36,Absolute emission reduction,2030,36,percent,CDP states regions,tCO2e,GCA2022,16138000,2020,CDP states regions,1698796,NA,9.49966917746451,Austria,Europe,Medium-term targets (6-15 years),a3f69fc0_5e6b4705,AUT.3_1
AU Australian Capital Territory Region,1990,3196800,Australian Capital Territory,Region,AUS,AU Australian Capital Territory Region:1990:2025:60,Absolute emission reduction,2025,60,percent,NZT,tCO2e,NZT,1669505,NA,GCoM,436635,2016,3.823571175008875,Australia,East Asia and the Pacific,Short-term targets (within 5 years),c3baa1fe_b6b5080d,AUS.2_1
AU Australian Capital Territory Region,1990,3196800,Australian Capital Territory,Region,AUS,AU Australian Capital Territory Region:NA:2045:Net zero,Net zero,2045,100,percent,NZT,tCO2e,NZT,1669505,NA,GCoM,436635,2016,3.823571175008875,Australia,East Asia and the Pacific,Long-term targets (>15 years),c3baa1fe_b6b5080d,AUS.2_1
AU New South Wales Region,2005,165300000,New South Wales,Region,AUS,AU New South Wales Region:2005:2030:50,Absolute emission reduction,2030,50,percent,CDP states regions,tCO2e,CDP states regions,186496687,2019,CDP States and Regions,8094317,2019,23.040447637521485,Australia,East Asia and the Pacific,Medium-term targets (6-15 years),1c4ca554_5cc4f400,AUS.5_1
AU New South Wales Region,2005,165300000,New South Wales,Region,AUS,AU New South Wales Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,372993375,2019,CDP states regions,8094317,2019,46.08089539858644,Australia,East Asia and the Pacific,Long-term targets (>15 years),1c4ca554_5cc4f400,AUS.5_1
AU Northern Territory Region,NA,NA,Northern Territory,Region,AUS,AU Northern Territory Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,NA,NA,NZT,246726,NA,NA,Australia,East Asia and the Pacific,Long-term targets (>15 years),173eae4b_9ba6990e,AUS.6_1
AU Queensland Region,2005,190619000,Queensland,Region,AUS,AU Queensland Region:2005:2030:30,Absolute emission reduction,2030,30,percent,NZT,tCO2e,NZT,NA,NA,NZT,5174733,2016,NA,Australia,East Asia and the Pacific,Medium-term targets (6-15 years),bdc8ab33_4252bd37,AUS.7_1
AU Queensland Region,2005,190619000,Queensland,Region,AUS,AU Queensland Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,NA,NA,NZT,5174733,2016,NA,Australia,East Asia and the Pacific,Long-term targets (>15 years),bdc8ab33_4252bd37,AUS.7_1
AU South Australia Region,2005,25376000,South Australia,Region,AUS,AU South Australia Region:NA:2050:100,Absolute emission reduction,2050,100,tCO2e,NZT,tCO2e,CDP states regions,25376000,2020,CDP states regions,1769319,2019,14.342241280402234,Australia,East Asia and the Pacific,Long-term targets (>15 years),88f0acf4_54bc0767,AUS.8_1
AU South Australia Region,2005,36834000,South Australia,Region,AUS,AU South Australia Region:2005:2030:50,Absolute emission reduction,2030,50,percent,CDP states regions,tCO2e,CDP states regions,25376000,2020,CDP states regions,1769319,2019,14.342241280402234,Australia,East Asia and the Pacific,Medium-term targets (6-15 years),88f0acf4_54bc0767,AUS.8_1
