uesi_id,nbhd_code,nbhd_name,layer,path,fid,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1
RUS_R337422,RUS_R337422_1,ÐœÐµÑ‚Ð°Ð»Ð»Ð¾ÑÑ‚Ñ€Ð¾Ð¹,RUS_R337422,C:/Users/dcmg2/Documents/GitHub/urban-epi/UESI 2023/indicators/spatial/RUS_R337422.geojson,,,,RUS.14_1,,,,,,,
BEN_R2851879,BEN_R2851879_1,9ème Arrondissement,BEN_R2851879,C:/Users/dcmg2/Documents/GitHub/urban-epi/UESI 2023/indicators/spatial/BEN_R2851879.geojson,"208",BEN,Benin,BEN.8_1,Littoral,NA,Département,Department,NA,BJ.LI,BJ-LI
BRA_R368782,BRA_R368782_2,Alípio de Melo,BRA_R368782,C:/Users/dcmg2/Documents/GitHub/urban-epi/UESI 2023/indicators/spatial/BRA_R368782.geojson,"351",BRA,Brazil,BRA.13_1,Minas Gerais,NA,Estado,State,NA,BR.MG,BR-MG
KOR_R2399220,KOR_R2399220_1,동구,KOR_R2399220,C:/Users/dcmg2/Documents/GitHub/urban-epi/UESI 2023/indicators/spatial/KOR_R2399220.geojson,"1595",KOR,South Korea,KOR.7_1,Gwangju,광주광역시 | 光州廣域市,Gwangyeoksi,Metropolitan City,NA,KR.KJ,KR-29
FRA_R35738,FRA_R35738_2,Capitole,FRA_R35738,C:/Users/dcmg2/Documents/GitHub/urban-epi/UESI 2023/indicators/spatial/FRA_R35738.geojson,"948",FRA,France,FRA.11_1,Occitanie,NA,Région,Region,NA,FR.LP,FR-OCC
POL_R336075,POL_R336075_1,Ochota,POL_R336075,C:/Users/dcmg2/Documents/GitHub/urban-epi/UESI 2023/indicators/spatial/POL_R336075.geojson,"2456",POL,Poland,POL.7_1,Mazowieckie,NA,Województwo,Voivodeship,"14",NA,PL-14
RUS_R4442556,RUS_R4442556_1,ÐšÑƒÑ€Ñ‡Ð°Ñ‚Ð¾Ð²ÑÐºÐ¸Ð¹ Ñ€Ð°Ð¹Ð¾Ð½,RUS_R4442556,C:/Users/dcmg2/Documents/GitHub/urban-epi/UESI 2023/indicators/spatial/RUS_R4442556.geojson,"2666",RUS,Russia,RUS.11_1,Chelyabinsk,Челябинская область,Oblast,Region,NA,RU.CL,NA
BRA_R302588,BRA_R302588_2,Genibau,BRA_R302588,C:/Users/dcmg2/Documents/GitHub/urban-epi/UESI 2023/indicators/spatial/BRA_R302588.geojson,"344",BRA,Brazil,BRA.6_1,Ceará,NA,Estado,State,NA,BR.CE,NA
THA_R92277,THA_R92277_008,Bang Phlat,THA_R92277,C:/Users/dcmg2/Documents/GitHub/urban-epi/UESI 2023/indicators/spatial/THA_R92277.geojson,"3024",THA,Thailand,THA.3_1,Bangkok Metropolis,จังหวัดเชียงใหม่,Changwat,Province,"10",TH.BM,NA
NLD_R271110,NLD_R271110_093,Amstel III/Bullewijk,NLD_R271110,C:/Users/dcmg2/Documents/GitHub/urban-epi/UESI 2023/indicators/spatial/NLD_R271110.geojson,"2210",NLD,Netherlands,NLD.9_1,Noord-Holland,NA,Provincie,Province,NA,NL.NH,NL-NH
